"ABS","Àmbit","Indicador","ABS homes","ABS dones","ABS total","Catalunya homes","Catalunya dones","Catalunya total"
"Sant Vicenç dels Horts 01 - Vila Vella","Demogràfic","Població assignada total (n)",13061,13264,26325,3771014,3882239,7653253
"Sant Vicenç dels Horts 02 - El Serral","Demogràfic","Població assignada de 0-14 anys (n)",417,414,831,563490,531360,1094850
"Sant Vicenç dels Horts 02 - El Serral","Demogràfic","Població assignada de 15-54 anys (n)",2049,1956,4005,2090135,2009939,4100074
"Sant Vicenç dels Horts 02 - El Serral","Demogràfic","Població assignada de 55-64 anys (n)",491,531,1022,485653,501618,987271
"Sant Vicenç dels Horts 02 - El Serral","Demogràfic","Població assignada de 65 anys o més (n)",533,707,1240,631736,839322,1471058
"Sant Vicenç dels Horts 02 - El Serral","Demogràfic","Població assignada total (n)",3490,3608,7098,3771014,3882239,7653253
"Santa Coloma de Farners","Demogràfic","Població assignada de 0-14 anys (n)",1374,1342,2716,563490,531360,1094850
"Santa Coloma de Farners","Demogràfic","Població assignada de 15-54 anys (n)",4784,4217,9001,2090135,2009939,4100074
"Santa Coloma de Farners","Demogràfic","Població assignada de 55-64 anys (n)",1046,954,2000,485653,501618,987271
"Santa Coloma de Farners","Demogràfic","Població assignada de 65 anys o més (n)",1322,1600,2922,631736,839322,1471058
"Santa Coloma de Farners","Demogràfic","Població assignada total (n)",8526,8113,16639,3771014,3882239,7653253
"Santa Coloma de Gramenet 01 - Can Mariner","Demogràfic","Població assignada de 0-14 anys (n)",1606,1536,3142,563490,531360,1094850
"Santa Coloma de Gramenet 01 - Can Mariner","Demogràfic","Població assignada de 15-54 anys (n)",6075,5852,11927,2090135,2009939,4100074
"Santa Coloma de Gramenet 01 - Can Mariner","Demogràfic","Població assignada de 55-64 anys (n)",1359,1510,2869,485653,501618,987271
"Santa Coloma de Gramenet 01 - Can Mariner","Demogràfic","Població assignada de 65 anys o més (n)",1943,2770,4713,631736,839322,1471058
"Santa Coloma de Gramenet 01 - Can Mariner","Demogràfic","Població assignada total (n)",10983,11668,22651,3771014,3882239,7653253
"Santa Coloma de Gramenet 02 - Llatí","Demogràfic","Població assignada de 0-14 anys (n)",1042,1021,2063,563490,531360,1094850
"Santa Coloma de Gramenet 02 - Llatí","Demogràfic","Població assignada de 15-54 anys (n)",3892,3681,7573,2090135,2009939,4100074
"Santa Coloma de Gramenet 02 - Llatí","Demogràfic","Població assignada de 55-64 anys (n)",814,854,1668,485653,501618,987271
"Santa Coloma de Gramenet 02 - Llatí","Demogràfic","Població assignada de 65 anys o més (n)",1260,1659,2919,631736,839322,1471058
"Santa Coloma de Gramenet 02 - Llatí","Demogràfic","Població assignada total (n)",7008,7215,14223,3771014,3882239,7653253
"Santa Coloma de Gramenet 03 - Singuerlín","Demogràfic","Població assignada de 0-14 anys (n)",1298,1322,2620,563490,531360,1094850
"Santa Coloma de Gramenet 03 - Singuerlín","Demogràfic","Població assignada de 15-54 anys (n)",5115,4744,9859,2090135,2009939,4100074
"Santa Coloma de Gramenet 03 - Singuerlín","Demogràfic","Població assignada de 55-64 anys (n)",1129,1114,2243,485653,501618,987271
"Santa Coloma de Gramenet 03 - Singuerlín","Demogràfic","Població assignada de 65 anys o més (n)",1741,2323,4064,631736,839322,1471058
"Santa Coloma de Gramenet 03 - Singuerlín","Demogràfic","Població assignada total (n)",9283,9503,18786,3771014,3882239,7653253
"Santa Coloma de Gramenet 04 - Riu Nord - Riu Sud","Demogràfic","Població assignada de 0-14 anys (n)",1558,1494,3052,563490,531360,1094850
"Santa Coloma de Gramenet 04 - Riu Nord - Riu Sud","Demogràfic","Població assignada de 15-54 anys (n)",5799,5935,11734,2090135,2009939,4100074
"Santa Coloma de Gramenet 04 - Riu Nord - Riu Sud","Demogràfic","Població assignada de 55-64 anys (n)",1299,1497,2796,485653,501618,987271
"Santa Coloma de Gramenet 04 - Riu Nord - Riu Sud","Demogràfic","Població assignada de 65 anys o més (n)",2328,3181,5509,631736,839322,1471058
"Santa Coloma de Gramenet 04 - Riu Nord - Riu Sud","Demogràfic","Població assignada total (n)",10984,12107,23091,3771014,3882239,7653253
"Santa Coloma de Gramenet 05 - Santa Rosa","Demogràfic","Població assignada de 0-14 anys (n)",1497,1395,2892,563490,531360,1094850
"Santa Coloma de Gramenet 05 - Santa Rosa","Demogràfic","Població assignada de 15-54 anys (n)",5688,4825,10513,2090135,2009939,4100074
"Santa Coloma de Gramenet 05 - Santa Rosa","Demogràfic","Població assignada de 55-64 anys (n)",1010,1029,2039,485653,501618,987271
"Santa Coloma de Gramenet 05 - Santa Rosa","Demogràfic","Població assignada de 65 anys o més (n)",1146,1636,2782,631736,839322,1471058
"Santa Coloma de Gramenet 05 - Santa Rosa","Demogràfic","Població assignada total (n)",9341,8885,18226,3771014,3882239,7653253
"Santa Coloma de Gramenet 06 - Fondo","Demogràfic","Població assignada de 0-14 anys (n)",1956,1796,3752,563490,531360,1094850
"Santa Coloma de Gramenet 06 - Fondo","Demogràfic","Població assignada de 15-54 anys (n)",6923,6337,13260,2090135,2009939,4100074
"Santa Coloma de Gramenet 06 - Fondo","Demogràfic","Població assignada de 55-64 anys (n)",1316,1185,2501,485653,501618,987271
"Santa Coloma de Gramenet 06 - Fondo","Demogràfic","Població assignada de 65 anys o més (n)",1395,1959,3354,631736,839322,1471058
"Santa Coloma de Gramenet 06 - Fondo","Demogràfic","Població assignada total (n)",11590,11277,22867,3771014,3882239,7653253
"Santa Coloma de Queralt","Demogràfic","Població assignada de 0-14 anys (n)",241,204,445,563490,531360,1094850
"Santa Coloma de Queralt","Demogràfic","Població assignada de 15-54 anys (n)",840,758,1598,2090135,2009939,4100074
