"ABS","Àmbit","Indicador","ABS homes","ABS dones","ABS total","Catalunya homes","Catalunya dones","Catalunya total"
"Barcelona 03A - Les Hortes - Poble Sec","Demogràfic","Població assignada de 65 anys o més (n)",1477,2111,3588,631736,839322,1471058
"Barcelona 03A - Les Hortes - Poble Sec","Demogràfic","Població assignada total (n)",12157,11959,24116,3771014,3882239,7653253
"Barcelona 03B - Poble Sec - Montjuïc","Demogràfic","Població assignada de 0-14 anys (n)",793,722,1515,563490,531360,1094850
"Barcelona 03B - Poble Sec - Montjuïc","Demogràfic","Població assignada de 15-54 anys (n)",6959,6578,13537,2090135,2009939,4100074
"Barcelona 03B - Poble Sec - Montjuïc","Demogràfic","Població assignada de 55-64 anys (n)",1298,1507,2805,485653,501618,987271
"Barcelona 03B - Poble Sec - Montjuïc","Demogràfic","Població assignada de 65 anys o més (n)",1857,2815,4672,631736,839322,1471058
"Barcelona 03B - Poble Sec - Montjuïc","Demogràfic","Població assignada total (n)",10907,11622,22529,3771014,3882239,7653253
"Barcelona 03C - Dr. Carles Riba","Demogràfic","Població assignada de 0-14 anys (n)",809,802,1611,563490,531360,1094850
"Barcelona 03C - Dr. Carles Riba","Demogràfic","Població assignada de 15-54 anys (n)",3836,3474,7310,2090135,2009939,4100074
"Barcelona 03C - Dr. Carles Riba","Demogràfic","Població assignada de 55-64 anys (n)",1101,1159,2260,485653,501618,987271
"Barcelona 03C - Dr. Carles Riba","Demogràfic","Població assignada de 65 anys o més (n)",1411,1809,3220,631736,839322,1471058
"Barcelona 03C - Dr. Carles Riba","Demogràfic","Població assignada total (n)",7157,7244,14401,3771014,3882239,7653253
"Barcelona 03D - Bordeta","Demogràfic","Població assignada de 0-14 anys (n)",1921,1848,3769,563490,531360,1094850
"Barcelona 03D - Bordeta","Demogràfic","Població assignada de 15-54 anys (n)",8983,9003,17986,2090135,2009939,4100074
"Barcelona 03D - Bordeta","Demogràfic","Població assignada de 55-64 anys (n)",2039,2246,4285,485653,501618,987271
"Barcelona 03D - Bordeta","Demogràfic","Població assignada de 65 anys o més (n)",2752,4014,6766,631736,839322,1471058
"Barcelona 03D - Bordeta","Demogràfic","Població assignada total (n)",15695,17111,32806,3771014,3882239,7653253
"Barcelona 03E - Sants","Demogràfic","Població assignada de 0-14 anys (n)",2780,2590,5370,563490,531360,1094850
"Barcelona 03E - Sants","Demogràfic","Població assignada de 15-54 anys (n)",6946,7311,14257,2090135,2009939,4100074
"Barcelona 03E - Sants","Demogràfic","Població assignada de 55-64 anys (n)",1470,1655,3125,485653,501618,987271
"Barcelona 03E - Sants","Demogràfic","Població assignada de 65 anys o més (n)",1781,2707,4488,631736,839322,1471058
"Barcelona 03E - Sants","Demogràfic","Població assignada total (n)",12977,14263,27240,3771014,3882239,7653253
"Barcelona 03G - Numància","Demogràfic","Població assignada de 0-14 anys (n)",1619,1558,3177,563490,531360,1094850
"Barcelona 03G - Numància","Demogràfic","Població assignada de 15-54 anys (n)",6725,6974,13699,2090135,2009939,4100074
"Barcelona 03G - Numància","Demogràfic","Població assignada de 55-64 anys (n)",1392,1681,3073,485653,501618,987271
"Barcelona 03G - Numància","Demogràfic","Població assignada de 65 anys o més (n)",2396,3366,5762,631736,839322,1471058
"Barcelona 03G - Numància","Demogràfic","Població assignada total (n)",12132,13579,25711,3771014,3882239,7653253
"Barcelona 03H - La Marina","Demogràfic","Població assignada de 0-14 anys (n)",1421,1273,2694,563490,531360,1094850
"Barcelona 03H - La Marina","Demogràfic","Població assignada de 15-54 anys (n)",5366,5407,10773,2090135,2009939,4100074
"Barcelona 03H - La Marina","Demogràfic","Població assignada de 55-64 anys (n)",1280,1426,2706,485653,501618,987271
"Barcelona 03H - La Marina","Demogràfic","Població assignada de 65 anys o més (n)",1477,2163,3640,631736,839322,1471058
"Barcelona 03H - La Marina","Demogràfic","Població assignada total (n)",9544,10269,19813,3771014,3882239,7653253
"Barcelona 03I - Badal","Demogràfic","Població assignada de 0-14 anys (n)",344,326,670,563490,531360,1094850
"Barcelona 03I - Badal","Demogràfic","Població assignada de 15-54 anys (n)",5846,6117,11963,2090135,2009939,4100074
"Barcelona 03I - Badal","Demogràfic","Població assignada de 55-64 anys (n)",1255,1565,2820,485653,501618,987271
"Barcelona 03I - Badal","Demogràfic","Població assignada de 65 anys o més (n)",1966,2898,4864,631736,839322,1471058
"Barcelona 03I - Badal","Demogràfic","Població assignada total (n)",9411,10906,20317,3771014,3882239,7653253
"Barcelona 04A - Montnegre","Demogràfic","Població assignada de 0-14 anys (n)",1344,1344,2688,563490,531360,1094850
"Barcelona 04A - Montnegre","Demogràfic","Població assignada de 15-54 anys (n)",6614,6894,13508,2090135,2009939,4100074
"Barcelona 04A - Montnegre","Demogràfic","Població assignada de 55-64 anys (n)",1629,2063,3692,485653,501618,987271
"Barcelona 04A - Montnegre","Demogràfic","Població assignada de 65 anys o més (n)",3022,4344,7366,631736,839322,1471058
"Barcelona 04A - Montnegre","Demogràfic","Població assignada total (n)",12609,14645,27254,3771014,3882239,7653253
"Barcelona 04B - Les Corts - Pedralbes","Demogràfic","Població assignada de 0-14 anys (n)",1244,1101,2345,563490,531360,1094850
"Barcelona 04B - Les Corts - Pedralbes","Demogràfic","Població assignada de 15-54 anys (n)",4680,5060,9740,2090135,2009939,4100074
"Barcelona 04B - Les Corts - Pedralbes","Demogràfic","Població assignada de 55-64 anys (n)",1122,1384,2506,485653,501618,987271
"Barcelona 04B - Les Corts - Pedralbes","Demogràfic","Població assignada de 65 anys o més (n)",2255,3174,5429,631736,839322,1471058
"Barcelona 04B - Les Corts - Pedralbes","Demogràfic","Població assignada total (n)",9301,10719,20020,3771014,3882239,7653253
"Barcelona 04C - Les Corts - Helios","Demogràfic","Població assignada de 0-14 anys (n)",1422,1377,2799,563490,531360,1094850
"Barcelona 04C - Les Corts - Helios","Demogràfic","Població assignada de 15-54 anys (n)",7888,8599,16487,2090135,2009939,4100074
"Barcelona 04C - Les Corts - Helios","Demogràfic","Població assignada de 55-64 anys (n)",1832,2274,4106,485653,501618,987271
"Barcelona 04C - Les Corts - Helios","Demogràfic","Població assignada de 65 anys o més (n)",3483,4839,8322,631736,839322,1471058
"Barcelona 04C - Les Corts - Helios","Demogràfic","Població assignada total (n)",14625,17089,31714,3771014,3882239,7653253
"Barcelona 05A - Marc Aureli","Demogràfic","Població assignada de 0-14 anys (n)",2147,2177,4324,563490,531360,1094850
"Barcelona 05A - Marc Aureli","Demogràfic","Població assignada de 15-54 anys (n)",7326,8628,15954,2090135,2009939,4100074
"Barcelona 05A - Marc Aureli","Demogràfic","Població assignada de 55-64 anys (n)",1865,2302,4167,485653,501618,987271
"Barcelona 05A - Marc Aureli","Demogràfic","Població assignada de 65 anys o més (n)",2645,4175,6820,631736,839322,1471058
"Barcelona 05A - Marc Aureli","Demogràfic","Població assignada total (n)",13983,17282,31265,3771014,3882239,7653253
"Barcelona 05B - Sant Elies","Demogràfic","Població assignada de 0-14 anys (n)",2506,2392,4898,563490,531360,1094850
"Barcelona 05B - Sant Elies","Demogràfic","Població assignada de 15-54 anys (n)",8747,10137,18884,2090135,2009939,4100074
"Barcelona 05B - Sant Elies","Demogràfic","Població assignada de 55-64 anys (n)",2261,2740,5001,485653,501618,987271
"Barcelona 05B - Sant Elies","Demogràfic","Població assignada de 65 anys o més (n)",3074,4886,7960,631736,839322,1471058
"Barcelona 05B - Sant Elies","Demogràfic","Població assignada total (n)",16588,20155,36743,3771014,3882239,7653253
"Barcelona 05C - Sarrià","Demogràfic","Població assignada de 0-14 anys (n)",3008,2874,5882,563490,531360,1094850
"Barcelona 05C - Sarrià","Demogràfic","Població assignada de 15-54 anys (n)",5358,5670,11028,2090135,2009939,4100074
"Barcelona 05C - Sarrià","Demogràfic","Població assignada de 55-64 anys (n)",1456,1642,3098,485653,501618,987271
"Barcelona 05C - Sarrià","Demogràfic","Població assignada de 65 anys o més (n)",1900,2823,4723,631736,839322,1471058
"Barcelona 05C - Sarrià","Demogràfic","Població assignada total (n)",11722,13009,24731,3771014,3882239,7653253
"Barcelona 05D - Vallvidrera - Les Planes","Demogràfic","Població assignada de 0-14 anys (n)",715,635,1350,563490,531360,1094850
"Barcelona 05D - Vallvidrera - Les Planes","Demogràfic","Població assignada de 15-54 anys (n)",5928,6515,12443,2090135,2009939,4100074
"Barcelona 05D - Vallvidrera - Les Planes","Demogràfic","Població assignada de 55-64 anys (n)",1462,1712,3174,485653,501618,987271
"Barcelona 05D - Vallvidrera - Les Planes","Demogràfic","Població assignada de 65 anys o més (n)",2287,3303,5590,631736,839322,1471058
"Barcelona 05D - Vallvidrera - Les Planes","Demogràfic","Població assignada total (n)",10392,12165,22557,3771014,3882239,7653253
"Barcelona 05E - Sant Gervasi","Demogràfic","Població assignada de 0-14 anys (n)",1806,1834,3640,563490,531360,1094850
"Barcelona 05E - Sant Gervasi","Demogràfic","Població assignada de 15-54 anys (n)",7584,8132,15716,2090135,2009939,4100074
"Barcelona 05E - Sant Gervasi","Demogràfic","Població assignada de 55-64 anys (n)",1869,2202,4071,485653,501618,987271
"Barcelona 05E - Sant Gervasi","Demogràfic","Població assignada de 65 anys o més (n)",3007,4461,7468,631736,839322,1471058
"Barcelona 05E - Sant Gervasi","Demogràfic","Població assignada total (n)",14266,16629,30895,3771014,3882239,7653253
"Barcelona 06A - Joanic","Demogràfic","Població assignada de 0-14 anys (n)",1732,1643,3375,563490,531360,1094850
"Barcelona 06A - Joanic","Demogràfic","Població assignada de 15-54 anys (n)",7938,8624,16562,2090135,2009939,4100074
"Barcelona 06A - Joanic","Demogràfic","Població assignada de 55-64 anys (n)",1598,1944,3542,485653,501618,987271
"Barcelona 06A - Joanic","Demogràfic","Població assignada de 65 anys o més (n)",2508,3900,6408,631736,839322,1471058
"Barcelona 06A - Joanic","Demogràfic","Població assignada total (n)",13776,16111,29887,3771014,3882239,7653253
"Barcelona 06B - Vila de Gràcia","Demogràfic","Població assignada de 0-14 anys (n)",856,800,1656,563490,531360,1094850
"Barcelona 06B - Vila de Gràcia","Demogràfic","Població assignada de 15-54 anys (n)",7801,8735,16536,2090135,2009939,4100074
"Barcelona 06B - Vila de Gràcia","Demogràfic","Població assignada de 55-64 anys (n)",1378,1598,2976,485653,501618,987271
"Barcelona 06B - Vila de Gràcia","Demogràfic","Població assignada de 65 anys o més (n)",1721,2802,4523,631736,839322,1471058
"Barcelona 06B - Vila de Gràcia","Demogràfic","Població assignada total (n)",11756,13935,25691,3771014,3882239,7653253
"Barcelona 06C - Lesseps","Demogràfic","Població assignada de 0-14 anys (n)",1275,1176,2451,563490,531360,1094850
"Barcelona 06C - Lesseps","Demogràfic","Població assignada de 15-54 anys (n)",5918,6459,12377,2090135,2009939,4100074
"Barcelona 06C - Lesseps","Demogràfic","Població assignada de 55-64 anys (n)",1200,1369,2569,485653,501618,987271
"Barcelona 06C - Lesseps","Demogràfic","Població assignada de 65 anys o més (n)",1868,3313,5181,631736,839322,1471058
"Barcelona 06C - Lesseps","Demogràfic","Població assignada total (n)",10261,12317,22578,3771014,3882239,7653253
"Barcelona 06D - Vallcarca","Demogràfic","Població assignada de 0-14 anys (n)",1660,1615,3275,563490,531360,1094850
"Barcelona 06D - Vallcarca","Demogràfic","Població assignada de 15-54 anys (n)",6110,6284,12394,2090135,2009939,4100074
"Barcelona 06D - Vallcarca","Demogràfic","Població assignada de 55-64 anys (n)",1335,1536,2871,485653,501618,987271
"Barcelona 06D - Vallcarca","Demogràfic","Població assignada de 65 anys o més (n)",1861,2780,4641,631736,839322,1471058
"Barcelona 06D - Vallcarca","Demogràfic","Població assignada total (n)",10966,12215,23181,3771014,3882239,7653253
"Barcelona 06E - La Salut","Demogràfic","Població assignada de 0-14 anys (n)",1225,1129,2354,563490,531360,1094850
"Barcelona 06E - La Salut","Demogràfic","Població assignada de 15-54 anys (n)",5410,5578,10988,2090135,2009939,4100074
"Barcelona 06E - La Salut","Demogràfic","Població assignada de 55-64 anys (n)",1140,1313,2453,485653,501618,987271
"Barcelona 06E - La Salut","Demogràfic","Població assignada de 65 anys o més (n)",2049,3321,5370,631736,839322,1471058
"Barcelona 06E - La Salut","Demogràfic","Població assignada total (n)",9824,11341,21165,3771014,3882239,7653253
"Barcelona 07A - Sanllehy","Demogràfic","Població assignada de 0-14 anys (n)",1256,1178,2434,563490,531360,1094850
"Barcelona 07A - Sanllehy","Demogràfic","Població assignada de 15-54 anys (n)",5582,5501,11083,2090135,2009939,4100074
"Barcelona 07A - Sanllehy","Demogràfic","Població assignada de 55-64 anys (n)",1336,1477,2813,485653,501618,987271
"Barcelona 07A - Sanllehy","Demogràfic","Població assignada de 65 anys o més (n)",1914,2951,4865,631736,839322,1471058
"Barcelona 07A - Sanllehy","Demogràfic","Població assignada total (n)",10088,11107,21195,3771014,3882239,7653253
"Barcelona 07B - Sardenya","Demogràfic","Població assignada de 0-14 anys (n)",1183,1111,2294,563490,531360,1094850
"Barcelona 07B - Sardenya","Demogràfic","Població assignada de 15-54 anys (n)",5087,5295,10382,2090135,2009939,4100074
"Barcelona 07B - Sardenya","Demogràfic","Població assignada de 55-64 anys (n)",1187,1393,2580,485653,501618,987271
